field,G;intensity,a.u.
3058.95;1415
3059.05;1419
3059.15;1417
3059.25;1419
3059.35;1422
3059.45;1423
3059.55;1424
3059.65;1423
3059.75;1423
3059.85;1425
3059.95;1427
3060.05;1427
3060.15;1431
3060.25;1434
3060.35;1436
3060.45;1440
3060.55;1443
3060.65;1445
3060.75;1446
3060.85;1445
3060.95;1448
3061.05;1450
3061.15;1452
3061.25;1455
3061.35;1461
3061.45;1460
3061.55;1462
3061.65;1462
3061.75;1462
3061.85;1466
3061.95;1467
3062.05;1470
3062.15;1471
3062.25;1470
3062.35;1470
3062.45;1472
3062.55;1474
3062.65;1474
3062.75;1475
3062.85;1475
3062.95;1478
3063.06;1479
3063.16;1479
3063.26;1482
3063.36;1484
3063.46;1487
3063.56;1490
3063.66;1496
3063.76;1498
3063.86;1500
3063.96;1502
3064.06;1504
3064.16;1512
3064.26;1509
3064.36;1511
3064.46;1513
3064.56;1515
3064.66;1517
3064.76;1521
3064.86;1523
3064.96;1523
3065.06;1524
3065.16;1524
3065.26;1527
3065.36;1527
3065.46;1529
3065.56;1532
3065.66;1534
3065.76;1536
3065.86;1540
3065.96;1544
3066.06;1548
3066.16;1552
3066.26;1554
3066.36;1556
3066.46;1563
3066.56;1563
3066.66;1564
3066.76;1566
3066.86;1567
3066.96;1571
3067.06;1567
3067.16;1568
3067.26;1571
3067.36;1572
3067.46;1570
3067.56;1573
3067.66;1574
3067.76;1575
3067.86;1578
3067.96;1579
3068.06;1583
3068.16;1584
3068.26;1586
3068.36;1587
3068.46;1591
3068.56;1591
3068.66;1593
3068.76;1595
3068.86;1597
3068.96;1598
3069.06;1601
3069.16;1605
3069.26;1610
3069.36;1609
3069.46;1609
3069.56;1611
3069.66;1611
3069.76;1614
3069.86;1613
3069.96;1614
3070.06;1614
3070.16;1615
3070.26;1612
3070.36;1618
3070.46;1620
3070.56;1623
3070.66;1626
3070.76;1629
3070.86;1633
3070.96;1636
3071.07;1639
3071.17;1642
3071.27;1646
3071.37;1644
3071.47;1647
3071.57;1650
3071.67;1651
3071.77;1652
3071.87;1655
3071.97;1655
3072.07;1655
3072.17;1654
3072.27;1655
3072.37;1659
3072.47;1661
3072.57;1662
3072.67;1668
3072.77;1672
3072.87;1674
3072.97;1676
3073.07;1671
3073.17;1675
3073.27;1675
3073.37;1676
3073.47;1679
3073.57;1683
3073.67;1683
3073.77;1683
3073.87;1683
3073.97;1683
3074.07;1684
3074.17;1683
3074.27;1684
3074.37;1685
3074.47;1684
3074.57;1684
3074.67;1687
3074.77;1689
3074.87;1689
3074.97;1690
3075.07;1690
3075.17;1691
3075.27;1693
3075.37;1691
3075.47;1697
3075.57;1700
3075.67;1701
3075.77;1701
3075.87;1700
3075.97;1702
3076.07;1703
3076.17;1703
3076.27;1705
3076.37;1709
3076.47;1709
3076.57;1711
3076.67;1713
3076.77;1715
3076.87;1717
3076.97;1721
3077.07;1724
3077.17;1727
3077.27;1728
3077.37;1730
3077.47;1733
3077.57;1734
