Wavelength Trans 
nm % 
480 38,8181897931222 
480,2 38,7683934150755 
480,4 38,986913329808 
480,6 38,7554281519586 
480,8 39,3674576801743 
481 39,2080730675089 
481,2 38,3611475144859 
481,4 38,4003941373419 
481,6 39,0203071562236 
481,8 39,4502380531341 
482 38,9212262532001 
482,2 38,9389149085321 
482,4 38,0957209386716 
482,6 38,7144671609048 
482,8 38,968042727229 
483 38,5368328622216 
483,2 38,3929052467437 
483,4 38,453599642277 
483,6 38,4627045969795 
483,8 37,8533330413271 
484 39,0942426979772 
484,2 39,0415128766547 
484,4 38,8218862850577 
484,6 37,898222433577 
484,8 38,1898547736243 
485 38,3085645589659 
485,2 37,4369995360021 
485,4 37,5778421648472 
485,6 38,3278071957467 
485,8 37,5779114029391 
486 37,3796829901007 
486,2 37,8682899083752 
486,4 37,9948399824091 
486,6 38,4691921037719 
486,8 38,0007291977765 
487 37,7864155430253 
487,2 38,489401581953 
487,4 38,1181178637094 
487,6 37,3874348617335 
487,8 38,0876606134345 
488 38,0632971613132 
488,2 37,8657274018207 
488,4 37,4477651429733 
488,6 36,6632997841296 
488,8 37,3494638371467 
488,999999999999 37,1608779116211 
489,199999999999 37,4261396132623 
489,399999999999 37,468421729147 
489,599999999999 37,7782684315335 
489,799999999999 37,707155377282 
489,999999999999 36,5990709092979 
490,199999999999 37,9678772850385 
490,399999999999 37,6066505564494 
490,599999999999 36,8368278062794 
490,799999999999 37,4834308159264 
490,999999999999 37,3851461283932 
491,199999999999 36,8271186279126 
491,399999999999 37,1369612853976 
491,599999999999 38,0630445997451 
491,799999999999 36,9786199147385 
491,999999999999 35,8224282302348 
492,199999999999 36,9629811475467 
492,399999999999 36,9353284829188 
492,599999999999 36,8256917525288 
492,799999999999 36,0458199614581 
492,999999999999 36,5367903922964 
493,199999999999 36,6517166227597 
493,399999999999 36,4745649157644 
493,599999999999 37,0201770049194 
493,799999999999 36,7226256487093 
493,999999999999 36,837634757343 
494,199999999999 36,8467999860415 
494,399999999999 37,031731554037 
494,599999999999 36,6265532127244 
494,799999999999 36,0496797621083 
494,999999999999 36,4758909069216 
495,199999999999 36,9211091416802 
495,399999999999 36,3102949207823 
495,599999999999 35,935363418649 
495,799999999999 35,854398712846 
495,999999999999 36,359699313242 
496,199999999999 36,0426987505514 
496,399999999999 36,4860803604073 
496,599999999999 36,9375991256569 
496,799999999999 36,706559683704 
496,999999999999 36,2846632143798 
497,199999999999 36,0252183952492 
497,399999999999 35,4156816188732 
497,599999999999 35,6399108817722 
497,799999999999 36,319721952671 
497,999999999999 36,894276685507 
498,199999999999 36,6085128802079 
498,399999999999 36,1364855168011 
498,599999999999 35,8344201925281 
498,799999999999 35,0978915974551 
498,999999999999 35,7436589877877 
499,199999999999 35,704967610874 
499,399999999999 35,8217185373354 
499,599999999999 36,0855153426776 
499,799999999999 35,841787670487 
499,999999999999 34,9722117134192 
500,199999999999 35,5896271475088 
500,399999999999 35,5344410890334 
500,599999999999 35,4967783649666 
500,799999999999 35,8200046247612 
500,999999999999 35,7727639122077 
501,199999999999 35,5766477112794 
501,399999999999 35,6948931614469 
501,599999999999 36,0007434004751 
501,799999999999 35,3986909693757 
501,999999999999 35,1578601723641 
502,199999999999 35,5869657978922 
502,399999999999 35,4941849260141 
502,599999999999 35,112843342075 
502,799999999999 35,5466569233116 
502,999999999999 35,8129109237934 
503,199999999999 36,3042449334505 
503,399999999999 35,4241728546323 
503,599999999999 35,6273403882475 
503,799999999999 35,6709252016995 
503,999999999999 35,0976024911888 
504,199999999999 35,8523067731022 
504,399999999999 35,1151517267348 
504,599999999999 34,367856609574 
504,799999999999 35,1285545258329 
504,999999999999 35,6729407581302 
505,199999999999 34,5522414367911 
505,399999999999 34,7017328667768 
505,599999999999 35,1269085999682 
505,799999999999 35,1884106730792 
505,999999999999 34,9278638806862 
506,199999999999 34,5630283694178 
506,399999999998 34,2687880723031 
506,599999999998 33,8158245016393 
506,799999999998 34,939854413734 
506,999999999998 35,0810523983024 
507,199999999998 35,0812255941823 
507,399999999998 35,3276775406797 
507,599999999998 35,0061989585509 
507,799999999998 34,2687072891788 
507,999999999998 34,0167012819446 
508,199999999998 34,7691451008671 
508,399999999998 34,7800599921917 
508,599999999998 34,4219845110058 
508,799999999998 34,3788898971677 
508,999999999998 34,7606617099012 
509,199999999998 36,1796659244842 
509,399999999998 35,4557533777289 
509,599999999998 34,2517822986298 
509,799999999998 34,078071266513 
509,999999999998 35,1453878792841 
510,199999999998 34,7971326233322 
510,399999999998 33,7294905719084 
510,599999999998 33,161736805587 
510,799999999998 34,3442632106789 
510,999999999998 34,7129526527382 
511,199999999998 34,9854804820224 
511,399999999998 34,2267028046418 
511,599999999998 34,2168746215551 
511,799999999998 34,7297336016386 
511,999999999998 35,1523910751455 
512,199999999998 34,7686662510758 
512,399999999998 34,0431739911991 
512,599999999998 34,140208927694 
512,799999999998 34,5965335163135 
512,999999999998 35,1729667383758 
513,199999999998 35,6857908538611 
513,399999999998 34,1955661203274 
513,599999999999 33,5000677344956 
513,799999999999 33,8800496233411 
513,999999999999 34,744729142223 
514,199999999999 35,7967431282726 
514,399999999999 34,6884437667939 
514,599999999999 33,0957363085003 
514,799999999999 34,1180068687703 
514,999999999999 34,7605282148587 
515,199999999999 34,465395053412 
515,399999999999 35,3968490726606 
515,599999999999 35,4834732094041 
515,799999999999 34,8660340251665 
515,999999999999 34,4104058963692 
516,199999999999 34,4263483028971 
516,399999999999 33,9290729760543 
516,599999999999 34,7675500780882 
516,799999999999 34,9411536511752 
516,999999999999 33,3694226168237 
517,199999999999 32,4511556400564 
517,399999999999 33,1810135813736 
517,599999999999 35,1003859269812 
517,8 36,5534472459517 
518 35,8009697793113 
518,2 33,943076370452 
518,4 33,1060473981784 
518,6 34,1968791228447 
518,8 34,491281366873 
519 34,930154878648 
519,2 34,3411728597909 
519,4 33,1998258136432 
519,6 32,4344677914694 
519,8 32,5564621917505 
520 33,9746260159432 
520,2 34,6645036751911 
520,4 34,6089029581177 
520,6 35,8030777712998 
520,8 36,0963417432977 
521 33,5898502542286 
521,2 32,3788882285548 
521,4 34,0273084026376 
521,6 34,5719254104478 
521,8 34,9915198081226 
522 35,643435503026 
522,200000000001 35,5087329203654 
522,400000000001 33,6934169821287 
522,600000000001 32,6423754328396 
522,800000000001 32,7904551685137 
523,000000000001 33,4101925077054 
523,200000000001 35,1540074850137 
523,400000000001 36,0054214287492 
523,600000000001 35,5279669668022 
523,800000000001 35,3725400755983 
524,000000000001 33,6260156391793 
524,200000000001 32,5298118976796 
