field,G;intensity,a.u.
3058.95;3379
3059.05;3381
3059.15;3382
3059.25;3383
3059.35;3383
3059.45;3388
3059.55;3383
3059.65;3381
3059.75;3382
3059.85;3380
3059.95;3384
3060.05;3382
3060.15;3381
3060.25;3377
3060.35;3377
3060.45;3376
3060.55;3375
3060.65;3374
3060.75;3373
3060.85;3372
3060.95;3372
3061.05;3373
3061.15;3374
3061.25;3375
3061.35;3374
3061.45;3375
3061.55;3372
3061.65;3372
3061.75;3367
3061.85;3365
3061.95;3364
3062.05;3363
3062.15;3362
3062.25;3363
3062.35;3364
3062.45;3364
3062.55;3364
3062.65;3358
3062.75;3362
3062.85;3360
3062.95;3362
3063.06;3362
3063.16;3361
3063.26;3360
3063.36;3358
3063.46;3358
3063.56;3357
3063.66;3358
3063.76;3360
3063.86;3361
3063.96;3359
3064.06;3361
3064.16;3361
3064.26;3361
3064.36;3360
3064.46;3361
3064.56;3359
3064.66;3359
3064.76;3357
3064.86;3354
3064.96;3354
3065.06;3353
3065.16;3351
3065.26;3348
3065.36;3351
3065.46;3347
3065.56;3347
3065.66;3347
3065.76;3350
3065.86;3352
3065.96;3351
3066.06;3351
3066.16;3348
3066.26;3344
3066.36;3343
3066.46;3344
3066.56;3344
3066.66;3344
3066.76;3345
3066.86;3345
3066.96;3343
3067.06;3343
3067.16;3344
3067.26;3343
3067.36;3344
3067.46;3343
3067.56;3345
3067.66;3343
3067.76;3343
3067.86;3342
3067.96;3341
3068.06;3339
3068.16;3340
3068.26;3340
3068.36;3338
3068.46;3338
3068.56;3335
3068.66;3339
3068.76;3338
3068.86;3340
3068.96;3341
3069.06;3341
3069.16;3342
3069.26;3342
3069.36;3343
3069.46;3342
3069.56;3341
3069.66;3339
3069.76;3340
3069.86;3337
3069.96;3336
3070.06;3335
3070.16;3334
3070.26;3333
3070.36;3332
3070.46;3330
3070.56;3330
3070.66;3332
3070.76;3331
3070.86;3335
3070.96;3337
3071.07;3339
3071.17;3338
3071.27;3342
3071.37;3337
3071.47;3336
3071.57;3334
3071.67;3332
3071.77;3333
3071.87;3329
3071.97;3330
3072.07;3326
3072.17;3326
3072.27;3325
3072.37;3323
3072.47;3322
3072.57;3323
3072.67;3321
3072.77;3319
3072.87;3318
3072.97;3316
3073.07;3316
3073.17;3316
3073.27;3317
3073.37;3317
3073.47;3320
3073.57;3319
3073.67;3321
3073.77;3320
3073.87;3320
3073.97;3319
3074.07;3320
3074.17;3320
3074.27;3319
3074.37;3317
3074.47;3312
3074.57;3317
3074.67;3314
3074.77;3315
3074.87;3314
3074.97;3313
3075.07;3313
3075.17;3311
3075.27;3311
3075.37;3310
3075.47;3308
3075.57;3310
3075.67;3313
3075.77;3312
3075.87;3313
3075.97;3313
3076.07;3311
3076.17;3309
3076.27;3308
3076.37;3306
3076.47;3305
3076.57;3305
3076.67;3301
3076.77;3302
3076.87;3301
3076.97;3301
3077.07;3301
3077.17;3305
3077.27;3300
3077.37;3301
3077.47;3299
3077.57;3299
3077.67;3302
3077.77;3298
3077.87;3298
3077.97;3295
3078.07;3295
3078.17;3295
3078.27;3295
3078.37;3294
3078.47;3296
3078.57;3295
3078.67;3295
3078.77;3297
3078.87;3297
3078.97;3298
3079.08;3296
3079.18;3296
3079.28;3297
3079.38;3300
3079.48;3297
3079.58;3296
3079.68;3296
3079.78;3296
3079.88;3295
3079.98;3295
3080.08;3295
3080.18;3295
3080.28;3294
3080.38;3290
3080.48;3295
3080.58;3293
3080.68;3292
3080.78;3290
3080.88;3287
3080.98;3286
3081.08;3286
3081.18;3286
3081.28;3287
3081.38;3288
3081.48;3288
3081.58;3290
3081.68;3288
3081.78;3288
3081.88;3288
3081.98;3286
3082.08;3283
3082.18;3282
3082.28;3281
3082.38;3280
3082.48;3279
3082.58;3275
3082.68;3277
3082.78;3276
3082.88;3275
3082.98;3274
3083.08;3279
3083.18;3275
3083.28;3275
3083.38;3275
3083.48;3277
3083.58;3280
3083.68;3278
3083.78;3278
3083.88;3275
3083.98;3275
3084.08;3276
3084.18;3277
3084.28;3275
3084.38;3276
3084.48;3275
3084.58;3273
3084.68;3272
3084.78;3271
3084.88;3271
3084.98;3269
3085.08;3268
3085.18;3266
3085.28;3267
3085.38;3265
3085.48;3265
3085.58;3265
3085.68;3265
3085.78;3265
3085.88;3266
3085.98;3264
3086.08;3264
3086.18;3265
3086.28;3260
3086.38;3263
3086.48;3261
3086.58;3258
3086.68;3255
3086.78;3254
3086.88;3256
3086.98;3254
3087.09;3255
3087.19;3254
3087.29;3252
3087.39;3250
3087.49;3251
3087.59;3249
3087.69;3248
3087.79;3248
3087.89;3251
3087.99;3249
3088.09;3251
3088.19;3251
3088.29;3250
3088.39;3250
3088.49;3246
3088.59;3247
3088.69;3246
3088.79;3246
3088.89;3246
3088.99;3251
3089.09;3247
3089.19;3248
3089.29;3250
3089.39;3249
3089.49;3251
3089.59;3247
3089.69;3246
