field,G;intensity,a.u.;I, A
3290.56;2096;0.25
3290.66;2091;0.25
3290.76;2094;0.25
3290.86;2088;0.25
3290.96;2081;0.25
3291.07;2084;0.25
3291.17;2080;0.25
3291.27;2084;0.25
3291.37;2085;0.25
3291.47;2084;0.25
3291.57;2084;0.25
3291.67;2083;0.25
3291.77;2082;0.25
3291.87;2079;0.25
3291.97;2076;0.25
3292.07;2074;0.25
3292.17;2070;0.25
3292.27;2067;0.25
3292.37;2062;0.25
3292.47;2057;0.25
3292.57;2052;0.25
3292.67;2053;0.25
3292.77;2052;0.25
3292.87;2050;0.25
3292.97;2051;0.25
3293.07;2052;0.25
3293.17;2051;0.25
3293.27;2048;0.25
3293.37;2047;0.25
3293.47;2046;0.25
3293.57;2045;0.25
3293.67;2046;0.25
3293.77;2048;0.25
3293.87;2049;0.25
3293.97;2052;0.25
3294.07;2055;0.25
3294.17;2058;0.25
3294.27;2067;0.25
3294.37;2071;0.25
3294.47;2071;0.25
3294.57;2072;0.25
3294.67;2071;0.25
3294.77;2071;0.25
3294.87;2071;0.25
3294.97;2069;0.25
3295.07;2068;0.25
3295.17;2063;0.25
3295.27;2060;0.25
3295.37;2060;0.25
3295.47;2063;0.25
3295.57;2062;0.25
3295.67;2060;0.25
3295.77;2059;0.25
3295.87;2059;0.25
3295.97;2062;0.25
3296.07;2062;0.25
3296.17;2060;0.25
3296.27;2060;0.25
3296.37;2061;0.25
3296.47;2060;0.25
3296.57;2057;0.25
3296.67;2057;0.25
3296.77;2055;0.25
3296.87;2054;0.25
3296.97;2055;0.25
3297.07;2058;0.25
3297.17;2058;0.25
3297.27;2057;0.25
3297.37;2058;0.25
3297.47;2054;0.25
3297.57;2051;0.25
3297.67;2057;0.25
3297.77;2057;0.25
3297.87;2053;0.25
3297.97;2060;0.25
3298.07;2058;0.25
3298.17;2055;0.25
3298.27;2059;0.25
3298.37;2059;0.25
3298.47;2061;0.25
3298.57;2064;0.25
3298.67;2065;0.25
3298.77;2065;0.25
3298.87;2062;0.25
3298.97;2059;0.25
3299.08;2059;0.25
3299.18;2058;0.25
3299.28;2058;0.25
3299.38;2057;0.25
3299.48;2055;0.25
3299.58;2056;0.25
3299.68;2058;0.25
3299.78;2063;0.25
3299.88;2067;0.25
3299.98;2069;0.25
3300.08;2072;0.25
3300.18;2076;0.25
3300.28;2078;0.25
3300.38;2076;0.25
3300.48;2074;0.25
3300.58;2072;0.25
3300.68;2066;0.25
3300.78;2062;0.25
3300.88;2058;0.25
3300.98;2055;0.25
3301.08;2054;0.25
3301.18;2056;0.25
3301.28;2058;0.25
3301.38;2061;0.25
3301.48;2065;0.25
3301.58;2067;0.25
3301.68;2067;0.25
3301.78;2065;0.25
3301.88;2064;0.25
3301.98;2061;0.25
3302.08;2062;0.25
3302.18;2063;0.25
3302.28;2065;0.25
3302.38;2069;0.25
3302.48;2072;0.25
3302.58;2069;0.25
3302.68;2065;0.25
3302.78;2061;0.25
3302.88;2059;0.25
3302.98;2054;0.25
3303.08;2053;0.25
3303.18;2052;0.25
3303.28;2051;0.25
3303.38;2049;0.25
3303.48;2046;0.25
3303.58;2047;0.25
3303.68;2046;0.25
3303.78;2043;0.25
3303.88;2046;0.25
3303.98;2051;0.25
3304.08;2048;0.25
3268.14;2054;0.75
3268.24;2052;0.75
3268.34;2051;0.75
3268.44;2050;0.75
3268.54;2051;0.75
3268.64;2043;0.75
3268.74;2040;0.75
3268.84;2035;0.75
3268.94;2030;0.75
3269.04;2029;0.75
3269.14;2024;0.75
3269.24;2028;0.75
3269.34;2023;0.75
3269.44;2026;0.75
3269.54;2025;0.75
3269.64;2029;0.75
3269.74;2032;0.75
3269.84;2034;0.75
3269.94;2038;0.75
3270.04;2039;0.75
3270.14;2038;0.75
3270.24;2035;0.75
3270.34;2034;0.75
3270.44;2037;0.75
3270.54;2038;0.75
3270.64;2036;0.75
3270.74;2032;0.75
3270.84;2029;0.75
3270.94;2026;0.75
3271.04;2027;0.75
3271.14;2029;0.75
3271.24;2030;0.75
3271.34;2030;0.75
3271.44;2027;0.75
3271.54;2027;0.75
3271.64;2031;0.75
3271.74;2029;0.75
3271.84;2029;0.75
3271.94;2031;0.75
3272.04;2032;0.75
3272.14;2031;0.75
3272.24;2027;0.75
3272.34;2023;0.75
3272.44;2025;0.75
3272.54;2025;0.75
3272.64;2029;0.75
3272.74;2032;0.75
3272.84;2033;0.75
3272.94;2030;0.75
3273.04;2025;0.75
3273.14;2023;0.75
3273.24;2023;0.75
3273.34;2027;0.75
3273.44;2020;0.75
3273.54;2023;0.75
3273.64;2015;0.75
3273.74;2019;0.75
3273.84;2007;0.75
3273.94;2011;0.75
3274.04;2010;0.75
3274.14;2020;0.75
3274.24;2026;0.75
3274.34;2032;0.75
3274.44;2037;0.75
3274.54;2039;0.75
3274.64;2039;0.75
3274.74;2040;0.75
3274.84;2038;0.75
3274.94;2036;0.75
3275.05;2032;0.75
3275.15;2029;0.75
3275.25;2026;0.75
3275.35;2020;0.75
3275.45;2018;0.75
3275.55;2020;0.75
3275.65;2019;0.75
3275.75;2017;0.75
3275.85;2018;0.75
3275.95;2020;0.75
3276.05;2020;0.75
3276.15;2020;0.75
3276.25;2021;0.75
3276.35;2021;0.75
3276.45;2020;0.75
3276.55;2017;0.75
3276.65;2016;0.75
3276.75;2013;0.75
3276.85;2006;0.75
3276.95;2004;0.75
3277.05;2001;0.75
3277.15;1999;0.75
3277.25;1998;0.75
3277.35;1999;0.75
3277.45;1998;0.75
3277.55;1994;0.75
3277.65;1998;0.75
3277.75;1994;0.75
3277.85;1997;0.75
3277.95;1992;0.75
3278.05;1991;0.75
3278.15;1989;0.75
3278.25;1983;0.75
3278.35;1983;0.75
3278.45;1978;0.75
3278.55;1975;0.75
3278.65;1970;0.75
3278.75;1965;0.75
3278.85;1963;0.75
3278.95;1964;0.75
3279.05;1964;0.75
3279.15;1964;0.75
3279.25;1965;0.75
3279.35;1964;0.75
3279.45;1964;0.75
3279.55;1964;0.75
3279.65;1962;0.75
3279.75;1959;0.75
3279.85;1956;0.75
3279.95;1953;0.75
3280.05;1951;0.75
3280.15;1951;0.75
3280.25;1951;0.75
3280.35;1949;0.75
3280.45;1943;0.75
3280.55;1936;0.75
3280.65;1932;0.75
3280.75;1926;0.75
3280.85;1921;0.75
3280.95;1918;0.75
3281.05;1908;0.75
3281.15;1897;0.75
3281.25;1887;0.75
3281.35;1877;0.75
3281.45;1863;0.75
3281.55;1850;0.75
3281.65;1835;0.75
3281.75;1819;0.75
3281.85;1800;0.75
3281.95;1782;0.75
3282.05;1762;0.75
3282.15;1741;0.75
3282.25;1714;0.75
3282.35;1687;0.75
3282.45;1656;0.75
3282.55;1619;0.75
3282.65;1589;0.75
3282.75;1545;0.75
3282.85;1514;0.75
3282.95;1466;0.75
3283.06;1433;0.75
3283.16;1388;0.75
3283.26;1350;0.75
3283.36;1315;0.75
3283.46;1282;0.75
3283.56;1254;0.75
3283.66;1229;0.75
3283.76;1213;0.75
3283.86;1204;0.75
3283.96;1199;0.75
3284.06;1204;0.75
3284.16;1217;0.75
3284.26;1240;0.75
3284.36;1268;0.75
3284.46;1304;0.75
3284.56;1347;0.75
3284.66;1399;0.75
3284.76;1455;0.75
3284.86;1517;0.75
3284.96;1585;0.75
