field,G;intensity,a.u.
3058.95;2538
3059.05;2538
3059.15;2541
3059.25;2543
3059.35;2542
3059.45;2539
3059.55;2536
3059.65;2536
3059.75;2536
3059.85;2536
3059.95;2539
3060.05;2542
3060.15;2541
3060.25;2542
3060.35;2543
3060.45;2543
3060.55;2544
3060.65;2547
3060.75;2547
3060.85;2547
3060.95;2550
3061.05;2550
3061.15;2554
3061.25;2556
3061.35;2553
3061.45;2554
3061.55;2554
3061.65;2551
3061.75;2548
3061.85;2549
3061.95;2553
3062.05;2555
3062.15;2558
3062.25;2559
3062.35;2561
3062.45;2561
3062.55;2562
3062.65;2565
3062.75;2564
3062.85;2565
3062.95;2563
3063.06;2562
3063.16;2562
3063.26;2561
3063.36;2561
3063.46;2564
3063.56;2567
3063.66;2567
3063.76;2565
3063.86;2562
3063.96;2560
3064.06;2561
3064.16;2562
3064.26;2562
3064.36;2567
3064.46;2566
3064.56;2563
3064.66;2562
3064.76;2560
3064.86;2561
3064.96;2561
3065.06;2563
3065.16;2563
3065.26;2560
3065.36;2564
3065.46;2567
3065.56;2571
3065.66;2572
3065.76;2571
3065.86;2571
3065.96;2570
3066.06;2571
3066.16;2568
3066.26;2565
3066.36;2562
3066.46;2557
3066.56;2557
3066.66;2554
3066.76;2551
3066.86;2552
3066.96;2549
3067.06;2549
3067.16;2550
3067.26;2551
3067.36;2551
3067.46;2550
3067.56;2553
3067.66;2554
3067.76;2560
3067.86;2564
3067.96;2568
3068.06;2573
3068.16;2572
3068.26;2575
3068.36;2574
3068.46;2570
3068.56;2569
3068.66;2567
3068.76;2571
3068.86;2571
3068.96;2572
3069.06;2575
3069.16;2571
3069.26;2574
3069.36;2574
3069.46;2578
3069.56;2583
3069.66;2584
3069.76;2587
3069.86;2584
3069.96;2587
3070.06;2589
3070.16;2590
3070.26;2591
3070.36;2591
3070.46;2597
3070.56;2602
3070.66;2606
3070.76;2609
3070.86;2609
3070.96;2612
3071.07;2612
3071.17;2611
3071.27;2610
3071.37;2605
3071.47;2605
3071.57;2599
3071.67;2598
3071.77;2599
3071.87;2598
3071.97;2600
3072.07;2600
3072.17;2606
3072.27;2611
3072.37;2616
3072.47;2620
3072.57;2621
3072.67;2626
3072.77;2629
3072.87;2632
3072.97;2635
3073.07;2630
3073.17;2634
3073.27;2632
3073.37;2631
3073.47;2631
3073.57;2624
3073.67;2624
3073.77;2623
3073.87;2625
3073.97;2626
3074.07;2628
3074.17;2632
3074.27;2635
3074.37;2641
3074.47;2648
3074.57;2651
3074.67;2654
3074.77;2658
3074.87;2666
3074.97;2670
3075.07;2674
3075.17;2679
3075.27;2677
3075.37;2679
3075.47;2676
3075.57;2676
3075.67;2679
3075.77;2678
3075.87;2687
3075.97;2691
3076.07;2695
3076.17;2696
3076.27;2695
3076.37;2700
3076.47;2703
3076.57;2707
3076.67;2714
3076.77;2720
3076.87;2726
3076.97;2728
3077.07;2735
3077.17;2740
3077.27;2744
3077.37;2750
3077.47;2753
3077.57;2762
3077.67;2769
3077.77;2777
3077.87;2783
3077.97;2787
3078.07;2802
3078.17;2810
3078.27;2815
3078.37;2818
3078.47;2824
3078.57;2834
3078.67;2839
3078.77;2844
3078.87;2850
3078.97;2860
3079.08;2871
3079.18;2882
3079.28;2897
3079.38;2911
3079.48;2922
3079.58;2930
3079.68;2934
3079.78;2942
3079.88;2949
3079.98;2957
